Idle state, waiting for transmission to start.
Idle state, waiting for transmission to start.
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 22:06:52,918] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 22:06:53,032] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 22:06:53,669] - [Receiver] - [INFO] - Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 22:06:54,293] - [Receiver] - [INFO] - Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 22:06:55,341] - [Receiver] - [INFO] - Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 22:06:56,613] - [Receiver] - [INFO] - Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 22:06:58,761] - [Receiver] - [INFO] - Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 22:07:02,201] - [Receiver] - [INFO] - Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 22:07:02,400] - [Receiver] - [INFO] - Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 22:47:11,078] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 22:47:11,079] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 22:47:11,170] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 22:47:11,177] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 22:54:44,796] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 22:54:44,797] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 22:54:44,932] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 22:54:44,937] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 22:54:45,419] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:00:30,512] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:00:30,512] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:00:30,641] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:00:30,647] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:00:31,112] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:03:34,074] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:03:34,075] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:03:34,150] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:03:34,166] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:03:34,720] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:04:17,019] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:04:17,020] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:04:17,152] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:04:17,158] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:04:17,591] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:14:57,828] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:14:57,828] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:14:57,903] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
